Race,Cause,Deployed,Retreated,FullLaps,Circuit,CauseType,CircuitType
1973 Canadian Grand Prix,Accident,33,39,5,Mosport Park,A,3
1993 Brazilian Grand Prix,Accident/Rain,29,38,8,Interlagos,O,3
1995 Belgian Grand Prix,Rain,28,33,4,Spa-Francorchamps,R,1
1996 Argentine Grand Prix,Accident,28,33,4,Autodromo Oscar Alfredo Galvez,A,3
1993 British Grand Prix,Stranded car,38,40,1,Silverstone,S,1
1997 Belgian Grand Prix,Rain,1,4,3,Spa-Francorchamps,R,1
1996 Belgian Grand Prix,Accident,13,18,4,Spa-Francorchamps,A,1
1998 Canadian Grand Prix,Accident,1,6,4,Circuit Gilles Villeneuve,A,2
1998 Canadian Grand Prix,Debris,15,18,2,Circuit Gilles Villeneuve,D,2
1994 San Marino Grand Prix,Accident,1,6,4,Autodromo Enzo e Dino Ferrari,A,2
1998 Canadian Grand Prix,Accident,20,22,1,Circuit Gilles Villeneuve,A,2
1998 British Grand Prix,Rain,42,49,6,Silverstone,R,1
1997 Argentine Grand Prix,Accident,1,6,4,Autodromo Oscar Alfredo Galvez,A,3
1999 Australian Grand Prix,Accident,20,25,4,Melbourne Grand Prix Circuit,A,1
1999 Australian Grand Prix,Accident,15,17,1,Melbourne Grand Prix Circuit,A,1
1999 Canadian Grand Prix,Accident,1,3,1,Circuit Gilles Villeneuve,A,2
1999 Canadian Grand Prix,Accident,3,8,4,Circuit Gilles Villeneuve,A,2
1999 Canadian Grand Prix,Accident,35,41,5,Circuit Gilles Villeneuve,A,2
1999 French Grand Prix,Stranded car/Rain,25,36,10,Magny-Cours,O,3
1999 European Grand Prix,Accident,1,6,4,N�rburgring,A,2
2000 Australian Grand Prix,Accident,7,11,3,Melbourne Grand Prix Circuit,A,1
2000 Austrian Grand Prix,Accident,1,3,1,Red Bull Ring,A,2
2000 German Grand Prix,Man on track,25,29,3,Hockenheimring,O,1
1998 Belgian Grand Prix,Accident,28,33,4,Spa-Francorchamps,A,1
2000 German Grand Prix,Accident,30,32,1,Hockenheimring,A,1
2000 Belgian Grand Prix,Rain,1,2,1,Spa-Francorchamps,R,1
2000 Italian Grand Prix,Multiple accidents,1,12,11,Monza,A,3
2000 Malaysian Grand Prix,Accident,1,3,1,Sepang,A,1
2001 Australian Grand Prix,Accident,5,15,9,Melbourne Grand Prix Circuit,A,1
2001 Malaysian Grand Prix,Rain,4,11,6,Sepang,R,1
2001 Brazilian Grand Prix,Stranded car,1,3,1,Interlagos,S,3
2001 Austrian Grand Prix,Four stranded cars,1,4,2,Red Bull Ring,S,2
2001 Belgian Grand Prix,Accident,6,7,1,Spa-Francorchamps,A,1
1999 Canadian Grand Prix,Accident,66,,3,Circuit Gilles Villeneuve,A,2
2001 Canadian Grand Prix,Accident,21,24,2,Circuit Gilles Villeneuve,A,2
2002 Australian Grand Prix,Accident,1,6,4,Melbourne Grand Prix Circuit,A,1
2002 Austrian Grand Prix,Accident,28,37,8,Red Bull Ring,A,2
2002 Canadian Grand Prix,Stranded car,14,17,2,Circuit Gilles Villeneuve,S,2
2002 Austrian Grand Prix,Stranded car,24,28,3,Red Bull Ring,S,2
2003 Australian Grand Prix,Two accidents,8,11,2,Melbourne Grand Prix Circuit,A,1
2003 Australian Grand Prix,Stranded car,16,20,3,Melbourne Grand Prix Circuit,S,1
2003 Brazilian Grand Prix,Rain,1,9,8,Interlagos,R,3
2003 Brazilian Grand Prix,Accident,18,24,5,Interlagos,A,3
2002 Australian Grand Prix,Accident,9,12,2,Melbourne Grand Prix Circuit,A,1
2003 Brazilian Grand Prix,Accident,33,37,3,Interlagos,A,3
2003 Brazilian Grand Prix,Three accidents,27,30,2,Interlagos,A,3
2003 Brazilian Grand Prix,Two accidents,54,,2,Interlagos,A,3
2003 Austrian Grand Prix,Stranded car,1,5,3,Red Bull Ring,S,2
2003 British Grand Prix,Debris from car,5,7,1,Silverstone,D,1
2004 Monaco Grand Prix,Accident,3,8,4,Circuit de Monaco,A,3
2003 British Grand Prix,Man on track,12,15,2,Silverstone,O,1
2004 United States Grand Prix,Accident,11,20,8,Indianapolis Motor Speedway,A,3
2004 Monaco Grand Prix,Accident,32,37,4,Circuit de Monaco,A,3
2004 Belgian Grand Prix,Accident,1,5,3,Spa-Francorchamps,A,1
2004 Belgian Grand Prix,Accident,31,34,2,Spa-Francorchamps,A,1
2004 Belgian Grand Prix,Debris from accident,38,42,3,Spa-Francorchamps,D,1
2005 Monaco Grand Prix,Stranded car,25,29,3,Circuit de Monaco,S,3
2004 United States Grand Prix,Accident,1,6,4,Indianapolis Motor Speedway,A,3
2005 Canadian Grand Prix,Accident,46,52,5,Circuit Gilles Villeneuve,A,2
2005 British Grand Prix,Accident,1,3,1,Silverstone,A,1
2005 Japanese Grand Prix,Accident,1,8,6,Susuka,A,3
